Name,Genre,Description,Year,Runtime
The Lost Weekend,"Drama, Film-Noir            ",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,1945,101 min
A Matter of Life and Death,"Drama, Fantasy, Romance            ","A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl.",1946,104 min
La belle et la bête,"Drama, Fantasy, Romance            ","A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.",1946,96 min
Notorious,"Drama, Film-Noir, Romance            ",The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,1946,102 min
The Big Sleep,"Crime, Film-Noir, Mystery            ","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",1946,114 min
The Killers,"Crime, Drama, Film-Noir            ","Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins.",1946,103 min
Black Narcissus,Drama            ,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",1947,101 min
Brighton Rock,"Crime, Drama, Film-Noir            ","In Brighton in 1935, small-time gang leader Pinkie Brown murders a journalist and later desperately tries to cover his tracks but runs into trouble with the police, a few witnesses, and a rival gang.",1947,92 min
Nightmare Alley,"Drama, Film-Noir            ","The rise and fall of Stanton Carlisle, a mentalist whose lies and deceit prove to be his downfall.",1947,110 min
Odd Man Out,"Crime, Drama, Film-Noir            ",A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.,1947,116 min
Out of the Past,"Crime, Drama, Film-Noir            ","A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",1947,97 min
Ladri di biciclette,Drama            ,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",1948,89 min
Oliver Twist,Drama            ,"In Charles Dickens' classic tale, an orphan wends his way from cruel apprenticeship to den of thieves in search of a true home.",1948,116 min
Rope,"Crime, Drama, Mystery            ",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,1948,80 min
The Red Shoes,"Drama, Music, Romance            ",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,1948,135 min
The Treasure of the Sierra Madre,"Adventure, Drama, Western            ",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,1948,126 min
Caught,"Drama, Film-Noir, Romance            ",An ambitious young LA department store model gets her wish of marrying a millionaire but she eventually discovers that rich life isn't always a happy one.,1949,88 min
Criss Cross,"Crime, Drama, Film-Noir            ",An armored truck driver and his ex-wife conspire with a gang to have his own truck robbed on the route.,1949,84 min
Jour de fête,Comedy            ,A village postman with no sense of humour delivers his mail via bicycle on the day the travelling fair comes to town. He is disrupted by a short film about US speed and efficiency and the playful teasing of the village folk.,1949,70 min
Kind Hearts and Coronets,"Comedy, Crime            ",A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,1949,106 min
The Third Man,"Film-Noir, Mystery, Thriller            ","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1949,104 min
